6.196078658103942871e-01 5.490196123719215393e-02 2.352941222488880157e-02
6.509804129600524902e-01 1.098039224743843079e-01 7.058823853731155396e-02
6.509804129600524902e-01 1.137254908680915833e-01 7.450980693101882935e-02
6.352941393852233887e-01 5.882352963089942932e-02 3.921568766236305237e-02
6.549019813537597656e-01 5.882352963089942932e-02 2.352941222488880157e-02
6.627451181411743164e-01 1.215686276555061340e-01 8.235294371843338013e-02
6.549019813537597656e-01 1.137254908680915833e-01 7.450980693101882935e-02
6.196078658103942871e-01 4.313725605607032776e-02 2.352941222488880157e-02
6.588235497474670410e-01 6.274510174989700317e-02 2.745098061859607697e-02
6.823529601097106934e-01 1.411764770746231079e-01 1.019607856869697571e-01
6.509804129600524902e-01 1.098039224743843079e-01 7.058823853731155396e-02
6.313725709915161133e-01 5.490196123719215393e-02 3.529411926865577698e-02
6.509804129600524902e-01 5.490196123719215393e-02 2.352941222488880157e-02
6.745098233222961426e-01 1.333333402872085571e-01 9.411764889955520630e-02
6.431372761726379395e-01 1.019607856869697571e-01 6.274510174989700317e-02
6.156862974166870117e-01 4.705882444977760315e-02 2.745098061859607697e-02
6.117647290229797363e-01 4.313725605607032776e-02 3.137255087494850159e-02
6.588235497474670410e-01 5.882352963089942932e-02 2.745098061859607697e-02
6.862745285034179688e-01 1.411764770746231079e-01 1.058823540806770325e-01
6.588235497474670410e-01 1.215686276555061340e-01 8.235294371843338013e-02
6.352941393852233887e-01 5.882352963089942932e-02 4.313725605607032776e-02
6.117647290229797363e-01 4.313725605607032776e-02 3.137255087494850159e-02
6.509804129600524902e-01 5.490196123719215393e-02 2.352941222488880157e-02
6.745098233222961426e-01 1.294117718935012817e-01 9.019608050584793091e-02
6.627451181411743164e-01 1.254902034997940063e-01 8.627451211214065552e-02
6.392157077789306641e-01 6.274510174989700317e-02 4.705882444977760315e-02
6.117647290229797363e-01 4.705882444977760315e-02 3.137255087494850159e-02
6.627451181411743164e-01 6.274510174989700317e-02 3.137255087494850159e-02
6.901960968971252441e-01 1.254902034997940063e-01 9.411764889955520630e-02
6.549019813537597656e-01 1.294117718935012817e-01 8.627451211214065552e-02
6.235294342041015625e-01 6.274510174989700317e-02 3.921568766236305237e-02
6.235294342041015625e-01 4.313725605607032776e-02 3.529411926865577698e-02
6.549019813537597656e-01 5.882352963089942932e-02 2.745098061859607697e-02
6.666666865348815918e-01 1.098039224743843079e-01 7.450980693101882935e-02
6.549019813537597656e-01 1.372549086809158325e-01 9.019608050584793091e-02
6.274510025978088379e-01 7.058823853731155396e-02 4.705882444977760315e-02
6.196078658103942871e-01 3.921568766236305237e-02 3.137255087494850159e-02
6.549019813537597656e-01 5.882352963089942932e-02 2.745098061859607697e-02
6.705882549285888672e-01 1.254902034997940063e-01 9.019608050584793091e-02
6.666666865348815918e-01 1.529411822557449341e-01 1.019607856869697571e-01
6.274510025978088379e-01 7.058823853731155396e-02 4.705882444977760315e-02
6.274510025978088379e-01 4.313725605607032776e-02 3.529411926865577698e-02
6.627451181411743164e-01 6.666667014360427856e-02 3.529411926865577698e-02
6.745098233222961426e-01 1.333333402872085571e-01 9.411764889955520630e-02
6.352941393852233887e-01 1.254902034997940063e-01 7.450980693101882935e-02
6.196078658103942871e-01 6.274510174989700317e-02 3.529411926865577698e-02
6.196078658103942871e-01 3.921568766236305237e-02 3.137255087494850159e-02
6.509804129600524902e-01 5.882352963089942932e-02 2.352941222488880157e-02
6.823529601097106934e-01 1.333333402872085571e-01 9.803921729326248169e-02
6.588235497474670410e-01 1.450980454683303833e-01 9.411764889955520630e-02
6.117647290229797363e-01 5.490196123719215393e-02 3.137255087494850159e-02
6.196078658103942871e-01 3.921568766236305237e-02 3.137255087494850159e-02
6.509804129600524902e-01 5.882352963089942932e-02 2.352941222488880157e-02
6.784313917160034180e-01 1.333333402872085571e-01 9.411764889955520630e-02
6.627451181411743164e-01 1.490196138620376587e-01 9.803921729326248169e-02
6.313725709915161133e-01 7.450980693101882935e-02 5.098039284348487854e-02
6.235294342041015625e-01 4.313725605607032776e-02 2.745098061859607697e-02
6.705882549285888672e-01 6.666667014360427856e-02 3.529411926865577698e-02
6.588235497474670410e-01 6.666667014360427856e-02 3.137255087494850159e-02
6.509804129600524902e-01 1.019607856869697571e-01 6.666667014360427856e-02
6.509804129600524902e-01 1.333333402872085571e-01 8.627451211214065552e-02
6.392157077789306641e-01 7.843137532472610474e-02 5.490196123719215393e-02
6.274510025978088379e-01 4.313725605607032776e-02 3.137255087494850159e-02
6.156862974166870117e-01 5.490196123719215393e-02 3.137255087494850159e-02
6.274510025978088379e-01 7.843137532472610474e-02 5.098039284348487854e-02
6.274510025978088379e-01 4.705882444977760315e-02 3.137255087494850159e-02
6.196078658103942871e-01 3.921568766236305237e-02 1.960784383118152618e-02
